platform,date,author,rating,review_text,source_url,sentiment,sentiment_reason,themes,specific_issue,feature_request,churn_risk,churn_reason,trust_break,priority,priority_reason,is_actionable,is_feature_request,is_bug_report,is_churn_signal,noise_type,support_category,competitor_mentioned,action_item,key_insight,confidence
playstore_customer,2026-05-16,vivek kaushik,5.0,it's healthy and awesome 👍,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,Healthy and awesome products.,Product Quality,,,Low,,False,P4,Generic positive feedback.,False,False,False,False,None,Other,,,Health proposition resonates with users.,0.9
playstore_customer,2026-05-16,Srikanth T.N.,5.0,super products and services,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,Super products and services.,Product Quality | Customer Support,,,Low,,False,P4,Generic positive feedback.,False,False,False,False,None,Other,,,General satisfaction with overall service.,0.9
playstore_customer,2026-05-16,Shilpa Srivastava,5.0,I like the product nd service...my kids love the potato chips nd cookies 😍,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,"Loves the products, kids love the chips and cookies.",Product Quality | Selection & Discovery,,,Low,,False,P4,Generic positive feedback highlighting specific categories.,False,False,False,False,None,Other,,,Snacks category is a strong hook for family households.,0.9
playstore_customer,2026-05-16,TR SUNEEL RAO,5.0,a smooth and nice experience,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,Smooth and nice experience.,UX,,,Low,,False,P4,Generic positive feedback.,False,False,False,False,None,Other,,,Smooth app UX contributes to overall positive sentiment.,0.9
playstore_customer,2026-05-16,Rahul Khandelwal,5.0,good quality products,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,Good quality products.,Product Quality,,,Low,,False,P4,Generic positive feedback.,False,False,False,False,None,Other,,,Quality baseline is being met.,0.9
playstore_customer,2026-05-15,Adithya Ashwini Sunil pai,5.0,best quality fruits and veggies. very happy with the quality of the items.,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,Very happy with the best quality fruits and veggies.,Product Quality,,,Low,,False,P4,Generic positive feedback.,False,False,False,False,None,Other,,,Produce quality is highly valued.,0.9
playstore_customer,2026-05-15,Ilamathi Kannan,1.0,Quality and variety of assortment are very good. I started using the app recently and was just becoming a regular. but unfortunately I would prefer to stop now due to very bad customer service experience. I had missing items is the order and in fact I had placed the order the first place precisely for that product. Customer service representative denied replacement within the 1 hr window which is the usual delivery time and also denied reversing the handling and delivery charges.,https://play.google.com/store/apps/details?id=com.firstclub.app,Negative,"Primary item missing from order, CS denied replacement and refund for handling/delivery charges.",Returns & Refunds | Customer Support,Missing items in order; CS refused replacement within 1 hr and refused to refund delivery/handling fees.,,High,Explicit intent to stop using the app due to bad CS experience.,True,P1,Money trust break + explicit churn intent over rigid refund policy.,True,False,False,True,None,Returns & Refunds,,Update CS tooling and policy to automatically refund delivery and handling charges when core items are missing from an order.,Refusing to refund delivery fees when the company fails to deliver the main item instantly destroys user trust.,0.98
playstore_customer,2026-05-15,aishwarya subramanyam,5.0,have ordered twice from ur app ...happy with the service...please keep it going like this,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,Happy with service after 2 orders.,Customer Support,,,Low,,False,P4,Generic positive feedback.,False,False,False,False,None,Other,,,Early retention looks solid when quality is maintained.,0.9
playstore_customer,2026-05-15,Raghavendran Srinivasan,5.0,The food items through this app is better quality,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,Food items have better quality.,Product Quality,,,Low,,False,P4,Generic positive feedback.,False,False,False,False,None,Other,,,Quality differentiation is working.,0.9
playstore_customer,2026-05-14,Harishikesh SR,1.0,Most items are not available. And expensive!!,https://play.google.com/store/apps/details?id=com.firstclub.app,Negative,Items are mostly unavailable and expensive.,Selection & Discovery | Pricing & Value,High out-of-stock rate and high prices.,,Medium,User is frustrated by low availability and high prices.,False,P4,Vague venting without specific items mentioned.,False,False,False,False,Vague Venting,Other,,,Out-of-stock items combined with premium pricing heavily degrade perceived value.,0.8
playstore_customer,2026-05-14,NAKUL BHANDARI,1.0,"overhyped. overpriced. products are avg quality, which you can get on big basket or amazon now easily.",https://play.google.com/store/apps/details?id=com.firstclub.app,Negative,Believes the app is overpriced for average quality compared to competitors.,Pricing & Value | Product Quality,Perception that product quality does not justify the premium pricing.,,High,User explicitly mentions switching to competitors like Big Basket or Amazon.,False,P4,User expectation mismatch; likely not the target demographic for premium pricing.,False,False,False,True,Unrealistic Expectation,Other,"Big Basket, Amazon",,Price-sensitive users churn quickly if the quality gap between the app and mass-market competitors isn't obvious.,0.4
playstore_customer,2026-05-13,Shilpi Soni,5.0,worth giving a chance they proved whatever they were committing must try..product range is also really good 👍,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,Happy that they deliver on their commitments with a good product range.,Selection & Discovery | Product Quality,,,Low,,False,P4,Generic positive feedback.,False,False,False,False,None,Other,,,Following through on marketing promises builds strong trust.,0.9
playstore_customer,2026-05-13,Chaitanya Gaikwad,5.0,Only place to order Clean label product at Best price. Do check their Member's Pick range.... it's one of the best quality product at a Best market price.,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,"Appreciates clean label products at good prices, particularly 'Member's Pick'.",Pricing & Value | Selection & Discovery,,,Low,,False,P4,Validates the success of the 'Member's Pick' curation.,False,False,False,False,None,Other,,,Curated sections like 'Member's Pick' successfully signal value and quality to users.,0.95
playstore_customer,2026-05-13,arpita parekh,5.0,"For anyone looking out for genuine,good quality products ,First club is the to go app without any doubt...Its like jo Biwi se kare pyar Woh First club se kaise kare inkaar..",https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,Loves the genuine quality products.,Product Quality,,,Low,,False,P4,Humorous positive praise.,False,False,False,False,None,Other,,,Strong brand affinity is developing around product quality.,0.9
playstore_customer,2026-05-13,Namrata Malhotra,5.0,Firstclub has not disappointed till date.,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,Consistently reliable experience.,Customer Support,,,Low,,False,P4,Generic positive feedback.,False,False,False,False,None,Other,,,Consistency breeds loyalty.,0.9
playstore_customer,2026-05-11,Yajana N Rao,5.0,Very smooth user experience. Loving it,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,Very smooth user experience.,UX,,,Low,,False,P4,Generic positive feedback.,False,False,False,False,None,Other,,,Smooth UX complements the premium product offering.,0.9
playstore_customer,2026-05-11,sindhushree prasad,1.0,"First two orders were smooth and quality, excellent... fresh vegetables, eco friendly packing... all good. From the third one, it has been an ordeal... one instance was the wrong order sent after waiting for more than two hours... replacing took another two hours. Another order had items missing and rotten onions... needless to say, I'm not impressed.",https://play.google.com/store/apps/details?id=com.firstclub.app,Negative,"Third order failed severely with wrong items, massive delays, missing items, and rotten produce.",Delivery & Speed | Product Quality | Customer Support,"Received wrong order, waited 2 hours for replacement, next order had missing items and rotten onions.",,High,"User says 'needless to say, I'm not impressed' after multiple cascading failures.",True,P2,Major operational QA failure at the dark store level causing cascading churn.,True,False,False,True,None,Delivery,,Implement a mandatory QA checklist at picker stations to prevent wrong-order dispatch and rotten produce inclusion.,Even a perfect initial experience is wiped out entirely if subsequent orders suffer severe QA failures.,0.95
playstore_customer,2026-05-11,Arunkumar Jayavel,5.0,Very selective products and user friendly application.,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,Likes the selective products and user-friendly app.,Selection & Discovery | UX,,,Low,,False,P4,Generic positive feedback.,False,False,False,False,None,Other,,,Curation and easy UX are working together well.,0.9
playstore_customer,2026-05-11,K P,4.0,needs features to save items for next purchase,https://play.google.com/store/apps/details?id=com.firstclub.app,Mixed,Likes the app but wants a feature to save items for future purchases.,UX | Selection & Discovery,Lack of ability to save items for later.,Needs feature to save items for next purchase.,Low,,False,P3,Valid UX feature request that directly impacts recurring order sizes.,True,True,False,False,None,App Bug,,Implement a 'Save for Later' or 'Favorites' list feature on product pages.,A favorites list is critical for grocery apps to facilitate fast recurring purchases.,0.95
playstore_customer,2026-05-11,Matru S,1.0,"poor quality product and went in scamming the customers. Initially tried with big promises on quality, delivery and support.. now it's too pathetic. They don't have proper customer service, the marketing team responds horribly on the WhatsApp group.",https://play.google.com/store/apps/details?id=com.firstclub.app,Negative,"Poor quality, feeling scammed, and horrific support via WhatsApp.",Customer Support | Product Quality,Marketing team responds horribly on the WhatsApp support group.,,High,Feels scammed and cites pathetic customer service.,True,P2,Rogue/unprofessional communication on CS channels is an urgent brand risk.,True,False,False,True,None,Other,,"Audit WhatsApp CS communication logs and implement standardized, professional response templates.",Unprofessional support channels accelerate churn much faster than the initial product issue.,0.95
playstore_customer,2026-05-10,jetsetsidd,3.0,I have ordered two times from this app it was good additionally I paid one time and the order did not go through and refund pending ..after one update of the app happened after third order ( 1st order is fine second order did not go through and thrid order was fine )and I could not login into the app..it always says failed to send code ..can anyone help,https://play.google.com/store/apps/details?id=com.firstclub.app,Mixed,"Experienced order failures, pending refund, and an app update broke their login.",App Performance | Billing | UX,Refund pending for failed order; app update causes 'failed to send code' preventing login.,,Medium,Cannot log in to access service or check refund status.,False,P2,Login blocking bug prevents any usage and exacerbates refund anxiety.,True,False,True,False,None,Account,,Investigate and resolve the OTP generation failure ('failed to send code') introduced in the latest app update.,Releasing auth bugs effectively locks users out of their money and the platform simultaneously.,0.98
playstore_customer,2026-05-10,adusumilli srinath,5.0,cool app to use and finally some app who cares for the health of their customers and promote organic foods,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,Loves the focus on health and organic foods.,Product Quality,,,Low,,False,P4,Generic positive feedback.,False,False,False,False,None,Other,,,Promoting organic foods aligns perfectly with the target demographic.,0.9
playstore_customer,2026-05-10,rohit pathak,5.0,quality is great.. loved it,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,Great quality.,Product Quality,,,Low,,False,P4,Generic positive feedback.,False,False,False,False,None,Other,,,Quality holds up.,0.9
playstore_customer,2026-05-10,MITHUN D,5.0,"Amazing good choices of quality foods, plenty of healthier options. I just love this app. Recommend this to everyone",https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,Amazing choices of healthy foods.,Selection & Discovery | Product Quality,,,Low,,False,P4,Generic positive feedback.,False,False,False,False,None,Other,,,Healthy options drive strong brand advocacy.,0.9
playstore_customer,2026-05-10,Shruthi Reddy,5.0,very decent fruits and vegetables fresh and tasty,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,Fresh and tasty fruits and vegetables.,Product Quality,,,Low,,False,P4,Generic positive feedback.,False,False,False,False,None,Other,,,Freshness remains a consistent highlight.,0.9
playstore_customer,2026-05-10,Saurabh Thakur,5.0,wonderful experience and offers,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,Wonderful experience and offers.,Pricing & Value | UX,,,Low,,False,P4,Generic positive feedback.,False,False,False,False,None,Other,,,Offers provide good retention value.,0.9
playstore_customer,2026-05-10,Sudarshan Saralaya,5.0,Smooth operation. Simple classification,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,Smooth operation and simple classification.,UX | Selection & Discovery,,,Low,,False,P4,Generic positive feedback.,False,False,False,False,None,Other,,,Simple catalog classification helps users navigate easily.,0.9
playstore_customer,2026-05-10,Praveen UV,5.0,Really good products best quality,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,Best quality products.,Product Quality,,,Low,,False,P4,Generic positive feedback.,False,False,False,False,None,Other,,,Quality is the main hook.,0.9
playstore_customer,2026-05-09,Prajwal Kashyap,1.0,please improve your app rather than spending so much on marketing it what is the point when the customer is not able to use your app,https://play.google.com/store/apps/details?id=com.firstclub.app,Negative,Frustrated that they spend on marketing but the app is unusable.,App Performance | UX,General inability to use the app.,,High,"Cannot use the app, feels money is wasted on marketing over product.",False,P4,Vague venting without specific actionable errors mentioned.,False,False,False,True,Vague Venting,App Bug,,,High marketing spend backfires when core app reliability is questioned.,0.6
playstore_customer,2026-05-09,Raju Rajbongshi,5.0,💯 Good Quality Products,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,Good quality products.,Product Quality,,,Low,,False,P4,Generic positive feedback.,False,False,False,False,None,Other,,,Quality is recognized.,0.9
playstore_customer,2026-05-09,Amarthya Bhargav,5.0,the quality is superb. this is way better than Swiggy and zepto in terms of quality,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,"Superb quality, explicitly better than competitors.",Product Quality,,,Low,,False,P4,Strong validation against top competitors.,False,False,False,False,None,Other,"Swiggy, Zepto",,Users clearly recognize the quality advantage over mass quick-commerce players.,0.95
playstore_customer,2026-05-09,Devdarshan Nayak,5.0,Good experience with First Order,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,Good first order experience.,Product Quality | Delivery & Speed,,,Low,,False,P4,Generic positive feedback.,False,False,False,False,None,Other,,,Onboarding and first fulfillment is working well.,0.9
playstore_customer,2026-05-09,Vivek Reddy,5.0,the mangoes were really good,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,Mangoes were really good.,Product Quality,,,Low,,False,P4,Specific product praise.,False,False,False,False,None,Other,,,Seasonal highlights like mangoes are strong order catalysts.,0.9
playstore_customer,2026-05-09,UltraCoolFreakOfNature,5.0,"Good experience on my first delivery. They have maintained the promised quality of products. I am glad I found this app. But I am also not getting excited. I have seen many cases in the past where things starte going wrong after the first couple of deliveries. Only time will tell if they are going to maintain this level, once more customers start ordering on their app and they become well established. I wish the team good luck. I hope I am proven wrong about complacency setting in over time.",https://play.google.com/store/apps/details?id=com.firstclub.app,Mixed,Good first delivery but cautious about quality dropping as the company scales.,Product Quality | Delivery & Speed,Fear of quality complacency over time.,,Low,,False,P4,"No immediate issue, just skepticism about scaling.",False,False,False,False,None,Other,,,Users are acutely aware of startup 'bait and switch' tactics and expect quality to drop.,0.95
playstore_customer,2026-05-08,Megha,1.0,"Every product on this app can be found on instamart, blinkit,zepto. Their claims of premium products is untrue as everything is readily available",https://play.google.com/store/apps/details?id=com.firstclub.app,Negative,Believes the premium claims are false because the same products are on mass quick commerce platforms.,Selection & Discovery | Pricing & Value,Lack of exclusive products makes premium positioning seem untrue.,,High,"Sees no USP compared to established, potentially cheaper alternatives.",True,P4,Perception mismatch; actionable via catalog strategy but not a bug.,False,False,False,True,Unrealistic Expectation,Product Quality,"Instamart, Blinkit, Zepto",,"If the catalog overlaps too heavily with generic quick commerce, the 'premium' label feels deceptive.",0.8
playstore_customer,2026-05-08,Sreeram Subramanian,5.0,great products at reasonable prices,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,Great products at reasonable prices.,Product Quality | Pricing & Value,,,Low,,False,P4,Generic positive feedback.,False,False,False,False,None,Other,,,Pricing is perceived as fair by some users.,0.9
playstore_customer,2026-05-08,Ango mintu Chakma,5.0,bahut he accha hai sab lok order karo,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,"Encourages others to order, very good.",Product Quality,,,Low,,False,P4,Generic positive feedback.,False,False,False,False,None,Other,,,Strong advocacy building.,0.9
playstore_customer,2026-05-08,Bhavana Dondapati,5.0,packaging is good and also received fresh products. thank you❤️,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,Good packaging and fresh products.,Packaging | Product Quality,,,Low,,False,P4,Generic positive feedback.,False,False,False,False,None,Other,,,Packaging supports the freshness value proposition.,0.9
playstore_customer,2026-05-08,Dinesh Agarwal,5.0,very good quality products ..,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,Very good quality products.,Product Quality,,,Low,,False,P4,Generic positive feedback.,False,False,False,False,None,Other,,,Consistency in quality.,0.9
playstore_customer,2026-05-08,avinash Chander,5.0,very good products. delivery is also fast. my daughter loves the products,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,"Good products, fast delivery, daughter loves them.",Product Quality | Delivery & Speed,,,Low,,False,P4,Generic positive feedback.,False,False,False,False,None,Other,,,Family approval drives retention.,0.9
playstore_customer,2026-05-07,Aditi Kaku,5.0,Love this app. It always delivers good quality products at a reasonable price. Also the chat support is quite helpful. I personally love their milk subscription program,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,"Loves the app, quality, chat support, and milk subscription.",Product Quality | Customer Support | Subscription,,,Low,,False,P4,Validation of multiple app pillars.,False,False,False,False,None,Other,,,Milk subscriptions paired with good chat support create very sticky habits.,0.95
playstore_customer,2026-05-07,arjun narayanan,5.0,just now ordered before that am giving,https://play.google.com/store/apps/details?id=com.firstclub.app,Neutral,Giving rating right after ordering.,UX,,,Low,,False,P4,"Premature review, no data.",False,False,False,False,None,Other,,,In-app review prompt triggers effectively right after checkout.,0.9
playstore_customer,2026-05-07,Syed Abbas,5.0,excellent quality and service,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,Excellent quality and service.,Product Quality | Customer Support,,,Low,,False,P4,Generic positive feedback.,False,False,False,False,None,Other,,,Quality and service align well.,0.9
playstore_customer,2026-05-07,beeva abhilash,5.0,loved the packing of vegetables,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,Loved the vegetable packing.,Packaging | Product Quality,,,Low,,False,P4,Generic positive feedback.,False,False,False,False,None,Other,,,Premium packaging significantly enhances the perception of fresh produce.,0.9
playstore_customer,2026-05-06,D Anil kumar D,5.0,"Had a genuinely great experience with First Club so far. I’ve ordered fruits twice and also tried their snacks, and everything has been consistently fresh and well-packed. One thing that really stood out to me is the quality of their bags — they’re strong, durable, and feel premium, which shows the attention they give even to small details. Overall, the service feels reliable and thoughtfully done. Wishing the team a strong and successful road ahead!",https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,"Great experience with fruits and snacks, highlights durable, premium bags.",Packaging | Product Quality,,,Low,,False,P4,Strong positive detail regarding unboxing experience.,False,False,False,False,None,Other,,,Investments in premium delivery bags yield high user appreciation.,0.98
playstore_customer,2026-05-06,khushi bargoti,3.0,I really liked the app it was really nice but I after my first order the app was unserviceable in my area and my wallet too had like 63+30 I think not sure so neither can I use the app nor get money🙁🫤,https://play.google.com/store/apps/details?id=com.firstclub.app,Mixed,"App became unserviceable after first order, trapping money in the wallet.",UX | Billing,"User's location became unserviceable, rendering app useless and trapping wallet funds.",,High,User is effectively locked out of the service.,True,P1,Trapped wallet funds due to operational polygon changes creates a massive trust break and legal risk.,True,False,True,True,None,Billing,,Add automated wallet refund trigger when a user's saved default address transitions to an unserviceable status.,Dynamic geofencing must account for active user wallets to prevent holding customer funds hostage.,0.98
playstore_customer,2026-05-06,Naveen Juturu,1.0,I am unable to add my location,https://play.google.com/store/apps/details?id=com.firstclub.app,Negative,Unable to add location in the app.,UX | App Performance,Location addition functionality is broken.,,High,Cannot use the app without a location.,False,P3,"Critical onboarding friction, likely a maps API bug.",True,False,True,False,None,App Bug,,Audit location pin-drop and address validation API for unhandled failure states.,Map integration failures stop user acquisition cold.,0.95
playstore_customer,2026-05-06,Prachi Bhasin,5.0,thank you for the high quality products which I can order without worrying about contents as you have already done that hardwork at your end.,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,"Grateful for pre-vetted high-quality products, reducing cognitive load.",Selection & Discovery | Product Quality,,,Low,,False,P4,Validation of core value proposition.,False,False,False,False,None,Other,,,Curating safe/healthy items effectively outsources the user's mental load of checking labels.,0.95
playstore_customer,2026-05-05,Abhishek Hegde,5.0,Very good app with fresh products. Even their inventory is maintained in a clean manner as the products delivered have always been great quality.,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,"Very good app, fresh products, inventory is well maintained.",Product Quality,,,Low,,False,P4,Generic positive feedback.,False,False,False,False,None,Other,,,Clean inventory management translates visibly to product quality.,0.9
playstore_customer,2026-05-04,Manjula K,5.0,"Tried the First Club app, and accidentally found a great delivery app for organic food items- fresh, high-quality products delivered quickly. The app is smooth, easy to use, and well-organized. Ordering feels simple and hassle-free, just like Instamart but focused on healthy, organic options. Highly recommended for anyone looking for convenient and clean food delivery!",https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,"Compares UX favorably to Instamart but focused on organic, clean delivery.",UX | Product Quality,,,Low,,False,P4,Great competitive positioning validation.,False,False,False,False,None,Other,Instamart,,Matching incumbent UX while upgrading product catalog is a winning combo.,0.95
playstore_customer,2026-05-04,Eashwar Roshini,5.0,wonderful trust worthy products,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,Wonderful trust-worthy products.,Product Quality,,,Low,,False,P4,Generic positive feedback.,False,False,False,False,None,Other,,,Trust is firmly established.,0.9
playstore_customer,2026-05-04,Dhwanit Joshi,5.0,very nice and the best app for people who doesnt have the time to check the lables for their health safety first club does that for you,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,Best app for time-poor people who want pre-checked healthy labels.,Selection & Discovery,,,Low,,False,P4,Validation of target persona use-case.,False,False,False,False,None,Other,,,"App perfectly serves the 'time-poor, health-conscious' demographic.",0.95
playstore_customer,2026-05-04,ashwini kamath,5.0,"in the world where every food contaminated,this app gives me hope atleast I am getting good basic ingredients",https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,Gives hope in a world of contaminated food.,Product Quality,,,Low,,False,P4,High emotional resonance.,False,False,False,False,None,Other,,,Food safety anxiety is a major driver for acquisition and loyalty.,0.95
playstore_customer,2026-05-03,aditya anand,5.0,products are of good quality no matter whatever you order. Price is bit higher for middle class people specially when we have platforms like Zepto where prices are insane.,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,"Good quality, acknowledges higher prices but prefers over insane Zepto prices.",Product Quality | Pricing & Value,,,Low,,False,P4,Pricing validation against competitors.,False,False,False,False,None,Other,Zepto,,Users justify premium pricing when they perceive market alternatives as unfairly expensive.,0.95
playstore_customer,2026-05-03,Anupam,5.0,"Best curated products, blindly you can choose from any category since filtering job already dn by FC team , kudos ...",https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,"Best curated products, can choose blindly.",Selection & Discovery | Product Quality,,,Low,,False,P4,Validation of curation effort.,False,False,False,False,None,Other,,,Blind trust in curation massively reduces time-to-checkout.,0.95
